20	83,75
25	75,76
31,5	68,21
40	61,14
50	54,96
63	49,01
80	43,24
100	38,13
125	33,48
160	28,77
200	24,84
250	21,33
315	18,05
400	15,14
500	12,98
630	11,18
800	9,99
1000	10
1250	11,26
1600	10,43
2000	7,27
2500	4,45
3150	3,04
4000	3,8
5000	7,46
6300	14,35
8000	20,98
10000	23,43
12500	22,33
16000	25,17
20000	81,47
